application_id,checking_status,duration_months,credit_history,purpose,credit_amount,savings_status,employment_since,installment_rate_pct,personal_status_sex,other_debtors,residence_since_years,property,age_years,other_installment_plans,housing,existing_credits_count,job,dependents_count,telephone,foreign_worker,default
0001,lt_0,6,critical_or_other_credits,radio_tv,1169,unknown_or_none,ge_7y,4,male_single,none,4,real_estate,67,none,own,2,skilled_employee,1,yes,yes,0
0002,0_to_200,48,existing_paid_duly,radio_tv,5951,lt_100,1_to_4y,2,female_divorced_separated_married,none,2,real_estate,22,none,own,1,skilled_employee,1,none,yes,1
0003,none,12,critical_or_other_credits,education,2096,lt_100,4_to_7y,2,male_single,none,3,real_estate,49,none,own,1,unskilled_resident,2,none,yes,0
0004,lt_0,42,existing_paid_duly,furniture_equipment,7882,lt_100,4_to_7y,2,male_single,guarantor,4,savings_agreement_or_life_insurance,45,none,for_free,1,skilled_employee,2,none,yes,0
0005,lt_0,24,past_delays,car_new,4870,lt_100,1_to_4y,3,male_single,none,4,unknown_or_none,53,none,for_free,2,skilled_employee,2,none,yes,1
0006,none,36,existing_paid_duly,education,9055,unknown_or_none,1_to_4y,2,male_single,none,4,unknown_or_none,35,none,for_free,1,unskilled_resident,2,yes,yes,0
0007,none,24,existing_paid_duly,furniture_equipment,2835,500_to_1000,ge_7y,3,male_single,none,4,savings_agreement_or_life_insurance,53,none,own,1,skilled_employee,1,none,yes,0
0008,0_to_200,36,existing_paid_duly,car_used,6948,lt_100,1_to_4y,2,male_single,none,2,car_or_other,35,none,rent,1,management_or_self_employed,1,yes,yes,0
0009,none,12,existing_paid_duly,radio_tv,3059,ge_1000,4_to_7y,2,male_divorced_separated,none,4,real_estate,61,none,own,1,unskilled_resident,1,none,yes,0
0010,0_to_200,30,critical_or_other_credits,car_new,5234,lt_100,unemployed,4,male_married_widowed,none,2,car_or_other,28,none,own,2,management_or_self_employed,1,none,yes,1
0011,0_to_200,12,existing_paid_duly,car_new,1295,lt_100,lt_1y,3,female_divorced_separated_married,none,1,car_or_other,25,none,rent,1,skilled_employee,1,none,yes,1
0012,lt_0,48,existing_paid_duly,business,4308,lt_100,lt_1y,3,female_divorced_separated_married,none,4,savings_agreement_or_life_insurance,24,none,rent,1,skilled_employee,1,none,yes,1
0013,0_to_200,12,existing_paid_duly,radio_tv,1567,lt_100,1_to_4y,1,female_divorced_separated_married,none,1,car_or_other,22,none,own,1,skilled_employee,1,yes,yes,0
0014,lt_0,24,critical_or_other_credits,car_new,1199,lt_100,ge_7y,4,male_single,none,4,car_or_other,60,none,own,2,unskilled_resident,1,none,yes,1
0015,lt_0,15,existing_paid_duly,car_new,1403,lt_100,1_to_4y,2,female_divorced_separated_married,none,4,car_or_other,28,none,rent,1,skilled_employee,1,none,yes,0
0016,lt_0,24,existing_paid_duly,radio_tv,1282,100_to_500,1_to_4y,4,female_divorced_separated_married,none,2,car_or_other,32,none,own,1,unskilled_resident,1,none,yes,1
0017,none,24,critical_or_other_credits,radio_tv,2424,unknown_or_none,ge_7y,4,male_single,none,4,savings_agreement_or_life_insurance,53,none,own,2,skilled_employee,1,none,yes,0
0018,lt_0,30,no_credits_all_paid,business,8072,unknown_or_none,lt_1y,2,male_single,none,3,car_or_other,25,bank,own,3,skilled_employee,1,none,yes,0
0019,0_to_200,24,existing_paid_duly,car_used,12579,lt_100,ge_7y,4,female_divorced_separated_married,none,2,unknown_or_none,44,none,for_free,1,management_or_self_employed,1,yes,yes,1
0020,none,24,existing_paid_duly,radio_tv,3430,500_to_1000,ge_7y,3,male_single,none,2,car_or_other,31,none,own,1,skilled_employee,2,yes,yes,0
0021,none,9,critical_or_other_credits,car_new,2134,lt_100,1_to_4y,4,male_single,none,4,car_or_other,48,none,own,3,skilled_employee,1,yes,yes,0
0022,lt_0,6,existing_paid_duly,radio_tv,2647,500_to_1000,1_to_4y,2,male_single,none,3,real_estate,44,none,rent,1,skilled_employee,2,none,yes,0
0023,lt_0,10,critical_or_other_credits,car_new,2241,lt_100,lt_1y,1,male_single,none,3,real_estate,48,none,rent,2,unskilled_resident,2,none,no,0
0024,0_to_200,12,critical_or_other_credits,car_used,1804,100_to_500,lt_1y,3,male_single,none,4,savings_agreement_or_life_insurance,44,none,own,1,skilled_employee,1,none,yes,0
0025,none,10,critical_or_other_credits,furniture_equipment,2069,unknown_or_none,1_to_4y,2,male_married_widowed,none,1,car_or_other,26,none,own,2,skilled_employee,1,none,no,0
0026,lt_0,6,existing_paid_duly,furniture_equipment,1374,lt_100,1_to_4y,1,male_single,none,2,real_estate,36,bank,own,1,unskilled_resident,1,yes,yes,0
0027,none,6,no_credits_all_paid,radio_tv,426,lt_100,ge_7y,4,male_married_widowed,none,4,car_or_other,39,none,own,1,unskilled_resident,1,none,yes,0
0028,ge_200_or_salary,12,all_paid_this_bank,radio_tv,409,ge_1000,1_to_4y,3,female_divorced_separated_married,none,3,real_estate,42,none,rent,2,skilled_employee,1,none,yes,0
0029,0_to_200,7,existing_paid_duly,radio_tv,2415,lt_100,1_to_4y,3,male_single,guarantor,2,real_estate,34,none,own,1,skilled_employee,1,none,yes,0
0030,lt_0,60,past_delays,business,6836,lt_100,ge_7y,3,male_single,none,4,unknown_or_none,63,none,own,2,skilled_employee,1,yes,yes,1
0031,0_to_200,18,existing_paid_duly,business,1913,ge_1000,lt_1y,3,male_married_widowed,none,3,real_estate,36,bank,own,1,skilled_employee,1,yes,yes,0
0032,lt_0,24,existing_paid_duly,furniture_equipment,4020,lt_100,1_to_4y,2,male_single,none,2,car_or_other,27,stores,own,1,skilled_employee,1,none,yes,0
0033,0_to_200,18,existing_paid_duly,car_new,5866,100_to_500,1_to_4y,2,male_single,none,2,car_or_other,30,none,own,2,skilled_employee,1,yes,yes,0
0034,none,12,critical_or_other_credits,business,1264,unknown_or_none,ge_7y,4,male_single,none,4,unknown_or_none,57,none,rent,1,unskilled_resident,1,none,yes,0
0035,ge_200_or_salary,12,existing_paid_duly,furniture_equipment,1474,lt_100,lt_1y,4,female_divorced_separated_married,none,1,savings_agreement_or_life_insurance,33,bank,own,1,management_or_self_employed,1,yes,yes,0
0036,0_to_200,45,critical_or_other_credits,radio_tv,4746,lt_100,lt_1y,4,male_single,none,2,savings_agreement_or_life_insurance,25,none,own,2,unskilled_resident,1,none,yes,1
0037,none,48,critical_or_other_credits,education,6110,lt_100,1_to_4y,1,male_single,none,3,unknown_or_none,31,bank,for_free,1,skilled_employee,1,yes,yes,0
0038,ge_200_or_salary,18,existing_paid_duly,radio_tv,2100,lt_100,1_to_4y,4,male_single,co_applicant,2,real_estate,37,stores,own,1,skilled_employee,1,none,yes,1
0039,ge_200_or_salary,10,existing_paid_duly,domestic_appliances,1225,lt_100,1_to_4y,2,male_single,none,2,car_or_other,37,none,own,1,skilled_employee,1,yes,yes,0
0040,0_to_200,9,existing_paid_duly,radio_tv,458,lt_100,1_to_4y,4,male_single,none,3,real_estate,24,none,own,1,skilled_employee,1,none,yes,0
0041,none,30,existing_paid_duly,radio_tv,2333,500_to_1000,ge_7y,4,male_single,none,2,car_or_other,30,bank,own,1,management_or_self_employed,1,none,yes,0
0042,0_to_200,12,existing_paid_duly,radio_tv,1158,500_to_1000,1_to_4y,3,male_divorced_separated,none,1,car_or_other,26,none,own,1,skilled_employee,1,yes,yes,0
0043,0_to_200,18,past_delays,repairs,6204,lt_100,1_to_4y,2,male_single,none,4,real_estate,44,none,own,1,unskilled_resident,2,yes,yes,0
0044,lt_0,30,critical_or_other_credits,car_used,6187,100_to_500,4_to_7y,1,male_married_widowed,none,4,car_or_other,24,none,rent,2,skilled_employee,1,none,yes,0
0045,lt_0,48,critical_or_other_credits,car_used,6143,lt_100,ge_7y,4,female_divorced_separated_married,none,4,unknown_or_none,58,stores,for_free,2,unskilled_resident,1,none,yes,1
0046,none,11,critical_or_other_credits,car_new,1393,lt_100,lt_1y,4,female_divorced_separated_married,none,4,car_or_other,35,none,own,2,management_or_self_employed,1,none,yes,0
0047,none,36,existing_paid_duly,radio_tv,2299,500_to_1000,ge_7y,4,male_single,none,4,car_or_other,39,none,own,1,skilled_employee,1,none,yes,0
0048,lt_0,6,existing_paid_duly,car_used,1352,500_to_1000,unemployed,1,female_divorced_separated_married,none,2,savings_agreement_or_life_insurance,23,none,rent,1,unemployed_unskilled_non_resident,1,yes,yes,0
0049,none,11,critical_or_other_credits,car_new,7228,lt_100,1_to_4y,1,male_single,none,4,savings_agreement_or_life_insurance,39,none,own,2,unskilled_resident,1,none,yes,0
0050,none,12,existing_paid_duly,radio_tv,2073,100_to_500,1_to_4y,4,female_divorced_separated_married,co_applicant,2,real_estate,28,none,own,1,skilled_employee,1,none,yes,0
0051,0_to_200,24,past_delays,furniture_equipment,2333,unknown_or_none,lt_1y,4,male_single,none,2,savings_agreement_or_life_insurance,29,bank,own,1,unskilled_resident,1,none,yes,0
0052,0_to_200,27,past_delays,car_used,5965,lt_100,ge_7y,1,male_single,none,2,car_or_other,30,none,own,2,management_or_self_employed,1,yes,yes,0
0053,none,12,existing_paid_duly,radio_tv,1262,lt_100,1_to_4y,3,male_single,none,2,car_or_other,25,none,own,1,skilled_employee,1,none,yes,0
0054,none,18,existing_paid_duly,car_used,3378,unknown_or_none,1_to_4y,2,male_single,none,1,savings_agreement_or_life_insurance,31,none,own,1,skilled_employee,1,yes,yes,0
0055,0_to_200,36,past_delays,car_new,2225,lt_100,ge_7y,4,male_single,none,4,unknown_or_none,57,bank,for_free,2,skilled_employee,1,yes,yes,1
0056,none,6,all_paid_this_bank,car_new,783,unknown_or_none,1_to_4y,1,male_single,guarantor,2,real_estate,26,stores,own,1,unskilled_resident,2,none,yes,0
0057,0_to_200,12,existing_paid_duly,radio_tv,6468,unknown_or_none,unemployed,2,male_single,none,1,unknown_or_none,52,none,own,1,management_or_self_employed,1,yes,yes,1
0058,none,36,critical_or_other_credits,radio_tv,9566,lt_100,1_to_4y,2,female_divorced_separated_married,none,2,car_or_other,31,stores,own,2,skilled_employee,1,none,yes,0
0059,ge_200_or_salary,18,existing_paid_duly,car_new,1961,lt_100,ge_7y,3,female_divorced_separated_married,none,2,car_or_other,23,none,own,1,management_or_self_employed,1,none,yes,0
0060,lt_0,36,critical_or_other_credits,furniture_equipment,6229,lt_100,lt_1y,4,female_divorced_separated_married,co_applicant,4,unknown_or_none,23,none,rent,2,unskilled_resident,1,yes,yes,1
0061,0_to_200,9,existing_paid_duly,business,1391,lt_100,1_to_4y,2,male_married_widowed,none,1,real_estate,27,bank,own,1,skilled_employee,1,yes,yes,0
0062,0_to_200,15,critical_or_other_credits,radio_tv,1537,unknown_or_none,ge_7y,4,male_single,guarantor,4,real_estate,50,none,own,2,skilled_employee,1,yes,yes,0
0063,0_to_200,36,no_credits_all_paid,business,1953,lt_100,ge_7y,4,male_single,none,4,unknown_or_none,61,none,for_free,1,management_or_self_employed,1,yes,yes,1
0064,0_to_200,48,no_credits_all_paid,business,14421,lt_100,1_to_4y,2,male_single,none,2,car_or_other,25,none,own,1,skilled_employee,1,yes,yes,1
0065,none,24,existing_paid_duly,radio_tv,3181,lt_100,lt_1y,4,female_divorced_separated_married,none,4,savings_agreement_or_life_insurance,26,none,own,1,skilled_employee,1,yes,yes,0
0066,none,27,existing_paid_duly,repairs,5190,unknown_or_none,ge_7y,4,male_single,none,4,savings_agreement_or_life_insurance,48,none,own,4,skilled_employee,2,yes,yes,0
0067,none,12,existing_paid_duly,radio_tv,2171,lt_100,lt_1y,2,female_divorced_separated_married,none,2,car_or_other,29,bank,own,1,skilled_employee,1,none,yes,0
0068,0_to_200,12,existing_paid_duly,car_new,1007,ge_1000,1_to_4y,4,male_married_widowed,none,1,real_estate,22,none,own,1,skilled_employee,1,none,yes,0
0069,none,36,existing_paid_duly,education,1819,lt_100,1_to_4y,4,male_single,none,4,unknown_or_none,37,stores,for_free,1,skilled_employee,1,yes,yes,1
0070,none,36,existing_paid_duly,radio_tv,2394,unknown_or_none,1_to_4y,4,female_divorced_separated_married,none,4,car_or_other,25,none,own,1,skilled_employee,1,none,yes,0
0071,none,36,existing_paid_duly,car_used,8133,lt_100,1_to_4y,1,female_divorced_separated_married,none,2,savings_agreement_or_life_insurance,30,bank,own,1,skilled_employee,1,none,yes,0
0072,none,7,critical_or_other_credits,radio_tv,730,unknown_or_none,ge_7y,4,male_single,none,2,savings_agreement_or_life_insurance,46,none,rent,2,unskilled_resident,1,yes,yes,0
0073,lt_0,8,critical_or_other_credits,other,1164,lt_100,ge_7y,3,male_single,none,4,unknown_or_none,51,bank,for_free,2,management_or_self_employed,2,yes,yes,0
0074,0_to_200,42,critical_or_other_credits,business,5954,lt_100,4_to_7y,2,female_divorced_separated_married,none,1,real_estate,41,bank,own,2,unskilled_resident,1,none,yes,0
0075,lt_0,36,existing_paid_duly,education,1977,unknown_or_none,ge_7y,4,male_single,none,4,unknown_or_none,40,none,own,1,management_or_self_employed,1,yes,yes,1
0076,lt_0,12,critical_or_other_credits,car_used,1526,lt_100,ge_7y,4,male_single,none,4,unknown_or_none,66,none,for_free,2,management_or_self_employed,1,none,yes,0
0077,lt_0,42,existing_paid_duly,radio_tv,3965,lt_100,lt_1y,4,male_single,none,3,car_or_other,34,none,own,1,skilled_employee,1,none,yes,1
0078,0_to_200,11,past_delays,radio_tv,4771,lt_100,4_to_7y,2,male_single,none,4,savings_agreement_or_life_insurance,51,none,own,1,skilled_employee,1,none,yes,0
0079,none,54,no_credits_all_paid,car_used,9436,unknown_or_none,1_to_4y,2,male_single,none,2,savings_agreement_or_life_insurance,39,none,own,1,unskilled_resident,2,none,yes,0
0080,0_to_200,30,existing_paid_duly,furniture_equipment,3832,lt_100,lt_1y,2,male_married_widowed,none,1,savings_agreement_or_life_insurance,22,none,own,1,skilled_employee,1,none,yes,0
0081,none,24,existing_paid_duly,radio_tv,5943,unknown_or_none,lt_1y,1,female_divorced_separated_married,none,1,car_or_other,44,none,own,2,skilled_employee,1,yes,yes,1
0082,none,15,existing_paid_duly,radio_tv,1213,500_to_1000,ge_7y,4,male_single,none,3,savings_agreement_or_life_insurance,47,stores,own,1,skilled_employee,1,yes,yes,0
0083,none,18,existing_paid_duly,business,1568,100_to_500,1_to_4y,3,female_divorced_separated_married,none,4,savings_agreement_or_life_insurance,24,none,rent,1,unskilled_resident,1,none,yes,0
0084,lt_0,24,existing_paid_duly,other,1755,lt_100,ge_7y,4,female_divorced_separated_married,guarantor,4,real_estate,58,none,own,1,unskilled_resident,1,yes,yes,0
0085,lt_0,10,existing_paid_duly,radio_tv,2315,lt_100,ge_7y,3,male_single,none,4,real_estate,52,none,own,1,unskilled_resident,1,none,yes,0
0086,none,12,critical_or_other_credits,business,1412,lt_100,1_to_4y,4,female_divorced_separated_married,guarantor,2,real_estate,29,none,own,2,management_or_self_employed,1,yes,yes,0
0087,0_to_200,18,critical_or_other_credits,furniture_equipment,1295,lt_100,lt_1y,4,female_divorced_separated_married,none,1,savings_agreement_or_life_insurance,27,none,own,2,skilled_employee,1,none,yes,0
0088,0_to_200,36,existing_paid_duly,education,12612,100_to_500,1_to_4y,1,male_single,none,4,unknown_or_none,47,none,for_free,1,skilled_employee,2,yes,yes,1
0089,lt_0,18,existing_paid_duly,car_new,2249,100_to_500,4_to_7y,4,male_single,none,3,car_or_other,30,none,own,1,management_or_self_employed,2,yes,yes,0
0090,lt_0,12,no_credits_all_paid,repairs,1108,lt_100,4_to_7y,4,male_single,none,3,real_estate,28,none,own,2,skilled_employee,1,none,yes,1
0091,none,12,critical_or_other_credits,radio_tv,618,lt_100,ge_7y,4,male_single,none,4,real_estate,56,none,own,1,skilled_employee,1,none,yes,0
0092,lt_0,12,critical_or_other_credits,car_used,1409,lt_100,ge_7y,4,male_single,none,3,real_estate,54,none,own,1,skilled_employee,1,none,yes,0
0093,none,12,critical_or_other_credits,radio_tv,797,unknown_or_none,ge_7y,4,female_divorced_separated_married,none,3,savings_agreement_or_life_insurance,33,bank,own,1,unskilled_resident,2,none,yes,1
0094,ge_200_or_salary,24,critical_or_other_credits,furniture_equipment,3617,unknown_or_none,ge_7y,4,male_single,co_applicant,4,unknown_or_none,20,none,rent,2,skilled_employee,1,none,yes,0
0095,0_to_200,12,existing_paid_duly,car_new,1318,ge_1000,ge_7y,4,male_single,none,4,real_estate,54,none,own,1,skilled_employee,1,yes,yes,0
0096,0_to_200,54,no_credits_all_paid,business,15945,lt_100,lt_1y,3,male_single,none,4,unknown_or_none,58,none,rent,1,skilled_employee,1,yes,yes,1
0097,none,12,critical_or_other_credits,education,2012,unknown_or_none,4_to_7y,4,female_divorced_separated_married,none,2,car_or_other,61,none,own,1,skilled_employee,1,none,yes,0
0098,0_to_200,18,existing_paid_duly,business,2622,100_to_500,1_to_4y,4,male_single,none,4,car_or_other,34,none,own,1,skilled_employee,1,none,yes,0
0099,0_to_200,36,critical_or_other_credits,radio_tv,2337,lt_100,ge_7y,4,male_single,none,4,real_estate,36,none,own,1,skilled_employee,1,none,yes,0
0100,0_to_200,20,past_delays,car_used,7057,unknown_or_none,4_to_7y,3,male_single,none,4,savings_agreement_or_life_insurance,36,bank,rent,2,management_or_self_employed,2,yes,yes,0
0101,none,24,existing_paid_duly,car_new,1469,100_to_500,ge_7y,4,male_married_widowed,none,4,real_estate,41,none,rent,1,unskilled_resident,1,none,yes,0
