application_id,age,income,loan_amount,term_months,credit_utilisation,num_delinquencies,employment_status,housing,purpose,region,default
A00001,67,59693.0,16299.15,36,0.0723,1,employed,mortgage,education,QLD,0
A00002,51,48368.16,5756.48,12,0.1683,2,employed,rent,home_improvement,VIC,1
A00003,54,49433.31,12204.78,24,0.5453,0,employed,mortgage,debt_consolidation,WA,0
A00004,64,55516.56,5790.2,36,0.3903,0,self_employed,mortgage,other,VIC,0
A00005,49,106972.09,21607.12,36,0.2173,0,unemployed,rent,other,WA,1
A00006,59,69567.97,43813.31,36,0.076,0,unemployed,mortgage,other,VIC,0
A00007,61,52769.73,36803.68,24,0.4517,1,employed,own,car,NSW,1
A00008,32,41742.44,9590.15,60,0.1771,1,unemployed,rent,debt_consolidation,QLD,0
A00009,23,40710.88,17053.65,36,0.5127,0,employed,mortgage,home_improvement,WA,1
A00010,35,111437.29,11761.64,36,0.2337,2,retired,mortgage,debt_consolidation,VIC,0
A00011,34,68050.77,11629.07,36,0.1579,0,employed,mortgage,debt_consolidation,SA,0
A00012,63,55848.49,27685.23,12,0.1891,0,unemployed,mortgage,debt_consolidation,QLD,0
A00013,65,46361.2,4956.68,24,0.2071,0,self_employed,mortgage,debt_consolidation,SA,0
A00014,21,32890.07,20602.69,12,0.482,0,employed,mortgage,other,NSW,0
A00015,45,52570.6,10621.28,24,0.0872,2,self_employed,rent,education,SA,1
A00016,61,80269.59,25466.63,24,0.1624,1,retired,own,car,QLD,0
A00017,27,45404.12,12238.48,24,0.387,0,employed,own,home_improvement,SA,1
A00018,60,48910.18,7305.6,24,0.2215,2,self_employed,mortgage,education,VIC,1
A00019,26,49047.01,12916.8,24,0.2382,0,,mortgage,education,VIC,1
A00020,43,56915.19,17010.4,48,0.4903,2,self_employed,rent,other,WA,1
A00021,61,26453.54,11175.27,12,0.0648,0,employed,rent,debt_consolidation,QLD,0
A00022,35,48731.0,14659.19,12,0.0699,0,self_employed,rent,debt_consolidation,NSW,0
A00023,37,36883.59,7998.38,48,0.257,0,employed,rent,other,NSW,1
A00024,34,80665.26,3040.17,36,0.4289,1,employed,rent,debt_consolidation,SA,1
A00025,56,38300.97,18769.98,24,0.0708,1,unemployed,rent,car,QLD,1
A00026,33,70239.85,16638.85,24,0.3673,0,employed,own,other,NSW,0
A00027,69,107580.73,11955.03,36,0.3675,1,retired,rent,debt_consolidation,NSW,0
A00028,42,47046.03,11396.33,24,0.3487,0,employed,rent,debt_consolidation,VIC,0
A00029,44,41327.8,20369.16,48,0.2292,0,employed,rent,education,NSW,0
A00030,45,59050.28,8314.33,48,0.071,1,retired,own,home_improvement,VIC,0
A00031,49,54126.92,7158.67,24,0.1156,1,employed,own,other,QLD,0
A00032,48,34643.75,9768.03,12,0.2862,1,employed,rent,other,NSW,0
A00033,45,66663.56,22324.91,48,0.0387,1,retired,own,car,NSW,0
A00034,69,134186.01,4758.71,24,0.2717,0,retired,mortgage,debt_consolidation,WA,0
A00035,60,48235.45,22361.54,36,0.2401,0,employed,own,car,NSW,0
A00036,59,49449.43,7453.57,48,0.5945,0,employed,mortgage,education,NSW,0
A00037,55,33852.92,5650.81,48,0.0895,1,employed,rent,debt_consolidation,WA,1
A00038,51,62541.76,23296.0,48,0.4255,0,employed,mortgage,home_improvement,QLD,0
A00039,37,30910.79,10320.28,36,0.308,0,employed,own,car,VIC,1
A00040,69,32921.49,5013.35,48,0.6663,1,employed,own,education,WA,0
A00041,43,96360.37,8819.85,36,0.4084,0,employed,rent,car,NSW,0
A00042,31,36045.82,19122.7,24,0.2837,0,employed,mortgage,home_improvement,NSW,0
A00043,62,88133.76,22364.82,36,0.4062,0,self_employed,own,debt_consolidation,WA,0
A00044,28,107576.89,8465.39,24,0.3729,0,employed,rent,education,QLD,0
A00045,63,60882.25,13957.78,48,0.1692,0,employed,rent,home_improvement,VIC,0
A00046,51,69496.12,16788.52,48,0.038,0,employed,own,debt_consolidation,VIC,0
A00047,26,130419.69,7429.58,12,0.4219,0,self_employed,rent,education,NSW,0
A00048,23,49586.42,13534.83,24,0.4204,0,employed,rent,other,NSW,1
A00049,42,41487.5,10730.8,24,0.1881,0,employed,own,other,VIC,0
A00050,22,29467.58,7929.82,36,0.4539,0,self_employed,own,debt_consolidation,WA,1
A00051,27,55202.76,8141.35,60,0.2741,0,employed,mortgage,car,NSW,0
A00052,46,105410.22,11386.92,60,0.5846,0,unemployed,own,other,NSW,0
A00053,68,83434.56,11135.71,60,0.2401,2,employed,mortgage,education,NSW,0
A00054,43,35456.4,7790.86,36,0.5295,0,unemployed,mortgage,debt_consolidation,NSW,1
A00055,60,36867.33,8471.25,36,0.3308,0,unemployed,rent,education,QLD,0
A00056,65,43179.58,21332.83,24,0.5331,1,self_employed,mortgage,education,QLD,1
A00057,61,61791.47,12435.32,24,0.1455,0,employed,own,car,QLD,0
A00058,51,49395.27,18602.6,12,0.2207,1,employed,rent,home_improvement,WA,1
A00059,42,59665.2,22496.01,48,0.2555,1,employed,rent,other,QLD,1
A00060,46,61915.93,15573.18,24,0.323,0,self_employed,own,debt_consolidation,QLD,0
A00061,34,47360.88,42724.67,12,0.2637,0,self_employed,mortgage,car,QLD,0
A00062,45,53205.75,6666.28,24,0.2842,0,unemployed,own,education,QLD,1
A00063,39,59454.5,17766.07,24,0.1788,0,employed,mortgage,home_improvement,QLD,0
A00064,33,52167.43,9037.28,36,0.0922,0,employed,own,car,SA,0
A00065,69,67953.87,33305.24,12,0.1506,0,self_employed,rent,car,NSW,0
A00066,21,125730.26,30341.27,24,0.1776,0,self_employed,own,debt_consolidation,QLD,1
A00067,25,70713.2,3386.23,48,0.3838,0,employed,rent,home_improvement,NSW,0
A00068,30,55554.22,6116.1,48,0.4645,0,employed,mortgage,other,NSW,0
A00069,68,25368.07,16294.58,36,0.1565,0,employed,mortgage,home_improvement,SA,0
A00070,54,64510.33,17569.51,36,0.7116,1,employed,own,home_improvement,VIC,0
A00071,64,22561.38,17016.5,24,0.1915,1,employed,own,car,VIC,1
A00072,30,28736.82,10482.69,48,0.1864,0,employed,rent,debt_consolidation,NSW,0
A00073,56,79585.54,14372.51,48,0.1115,0,employed,rent,home_improvement,VIC,0
A00074,39,74444.25,16184.56,36,0.3598,0,employed,own,other,NSW,0
A00075,44,50641.54,10438.72,24,0.2316,1,employed,mortgage,education,QLD,1
A00076,21,25096.78,20259.54,24,0.4274,0,employed,mortgage,debt_consolidation,SA,0
A00077,51,45839.12,2819.46,24,0.2204,2,employed,mortgage,other,QLD,0
A00078,61,39917.41,15998.91,24,0.149,0,self_employed,own,car,QLD,0
A00079,53,72155.47,5881.51,12,0.5843,0,self_employed,own,car,VIC,0
A00080,28,149638.66,19442.31,24,0.2989,0,self_employed,mortgage,debt_consolidation,VIC,0
A00081,47,59731.73,9535.62,24,0.266,0,employed,rent,car,QLD,0
A00082,34,38151.1,6417.14,24,0.1263,0,employed,own,debt_consolidation,VIC,0
A00083,68,31992.34,13688.91,24,0.185,1,employed,own,car,VIC,0
A00084,64,52825.94,6330.91,24,0.183,1,employed,own,other,VIC,0
A00085,30,50033.25,6325.47,24,0.3792,0,retired,rent,education,SA,0
A00086,45,32267.52,4271.09,36,0.3084,0,unemployed,rent,education,QLD,1
A00087,67,57088.61,10764.14,36,0.5673,2,employed,rent,other,QLD,1
A00088,62,32276.31,14736.67,24,0.2934,0,self_employed,mortgage,education,NSW,0
A00089,55,89361.77,20207.63,48,0.1186,0,self_employed,rent,home_improvement,WA,0
A00090,52,87394.95,10046.34,36,0.2203,0,unemployed,rent,home_improvement,VIC,0
A00091,23,88268.45,20510.93,36,0.3995,0,employed,rent,education,QLD,0
A00092,57,43768.83,11056.53,36,0.3969,1,unemployed,rent,other,VIC,0
A00093,44,68291.07,10342.6,48,0.1635,1,self_employed,rent,home_improvement,WA,1
A00094,25,51050.4,15431.06,48,0.2478,0,employed,mortgage,other,NSW,1
A00095,32,45480.3,20641.02,48,0.0874,0,employed,rent,other,NSW,0
A00096,47,46508.22,8911.87,36,0.4766,0,employed,own,car,NSW,1
A00097,56,30185.84,9449.74,36,0.2851,0,employed,rent,home_improvement,NSW,0
A00098,45,28289.93,9931.84,24,0.3586,0,retired,mortgage,education,QLD,0
A00099,51,77454.17,11494.93,36,0.411,0,self_employed,rent,home_improvement,NSW,0
A00100,63,49709.14,6372.55,24,0.1965,0,employed,own,other,NSW,0
A00101,54,59718.14,20268.1,24,0.2096,1,employed,rent,debt_consolidation,VIC,1
A00102,38,85030.87,8602.04,12,0.4166,0,employed,rent,education,NSW,0
A00103,52,24837.02,14435.79,24,0.2573,0,employed,own,home_improvement,WA,0
A00104,50,38068.46,6665.61,12,0.2794,0,employed,mortgage,other,VIC,1
A00105,26,58624.07,13565.46,36,0.2986,1,self_employed,mortgage,debt_consolidation,NSW,0
A00106,23,64630.56,13834.99,36,0.5504,0,employed,own,home_improvement,QLD,1
A00107,53,45721.16,8498.04,48,0.1961,0,employed,rent,other,SA,0
A00108,39,86088.46,36773.53,12,0.0302,0,employed,own,debt_consolidation,NSW,0
A00109,50,59556.32,13665.42,36,0.019,0,retired,own,debt_consolidation,NSW,0
A00110,36,31381.63,31766.18,48,0.6179,0,employed,own,debt_consolidation,VIC,1
A00111,32,35637.59,19447.69,12,0.277,0,employed,own,home_improvement,QLD,0
A00112,28,77843.99,7351.32,24,0.0617,1,self_employed,rent,home_improvement,SA,1
A00113,39,66750.97,8696.6,24,0.4812,0,employed,rent,home_improvement,NSW,0
A00114,61,23050.03,14209.43,36,0.1255,0,employed,rent,education,NSW,0
A00115,40,,11346.94,24,0.4698,0,employed,mortgage,home_improvement,NSW,0
A00116,39,70906.13,11267.49,36,0.1121,1,employed,rent,debt_consolidation,VIC,1
A00117,49,99161.42,9212.14,24,0.1273,0,employed,own,education,QLD,0
A00118,68,45585.03,3695.66,36,0.1789,1,employed,own,education,QLD,0
A00119,40,47426.3,9554.24,36,0.1999,0,employed,rent,home_improvement,QLD,1
A00120,49,32633.49,2890.33,36,0.3266,1,retired,rent,education,VIC,0
A00121,42,169671.3,13671.82,24,0.1345,1,employed,mortgage,other,VIC,0
A00122,50,50063.41,7075.3,36,0.4607,0,employed,own,education,SA,0
A00123,42,110679.06,7120.62,36,0.2845,0,employed,own,education,NSW,0
A00124,52,40486.28,9589.44,36,0.4965,0,employed,mortgage,car,NSW,0
A00125,47,58321.64,12882.22,12,0.3343,2,employed,rent,home_improvement,NSW,0
A00126,54,25537.2,4632.24,60,0.4138,1,employed,own,car,WA,1
A00127,67,45602.13,3830.84,36,0.1835,0,employed,rent,car,VIC,0
A00128,28,84346.59,5769.61,24,0.4117,0,employed,own,other,QLD,0
A00129,48,30844.55,3213.01,24,0.3108,0,employed,rent,car,QLD,0
A00130,42,87772.4,6123.51,36,0.058,1,self_employed,rent,education,WA,0
A00131,38,63054.65,28410.95,36,0.0966,1,self_employed,rent,home_improvement,VIC,0
A00132,32,33867.87,5802.53,24,0.1184,0,employed,own,car,VIC,1
A00133,23,43229.62,16168.87,24,0.2812,0,employed,mortgage,education,NSW,0
A00134,40,44064.97,4803.11,24,0.3786,0,self_employed,mortgage,car,VIC,0
A00135,61,52982.47,13088.28,48,0.1132,1,employed,mortgage,other,NSW,1
A00136,25,42562.77,9028.66,24,0.329,0,unemployed,mortgage,debt_consolidation,SA,1
A00137,40,37336.27,10552.44,12,0.4496,2,employed,own,other,QLD,0
A00138,68,47237.13,15386.82,36,0.1546,0,employed,mortgage,car,NSW,0
A00139,67,34128.89,31374.29,24,0.2014,0,employed,rent,other,VIC,0
A00140,31,30324.55,12293.47,12,0.5502,1,employed,rent,other,VIC,1
A00141,21,53014.49,11785.38,60,0.4026,1,unemployed,rent,other,QLD,1
A00142,53,80603.18,6099.61,24,0.0483,1,employed,own,home_improvement,SA,0
A00143,21,27222.05,15521.85,36,0.3722,2,self_employed,mortgage,debt_consolidation,NSW,0
A00144,35,54261.96,9436.65,24,0.3257,1,unemployed,rent,other,QLD,0
